customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,ServiceCount,InternetScore,AvgServiceUsageScore,Churn
7590-VHVEG,Female,0,Yes,No,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,Yes,Electronic check,29.85,29.85,1,20,6.651317511075796,No
5575-GNVDE,Male,0,No,No,34,1,No,DSL,1,0,1,0,0,0,One year,No,Mailed check,56.95,1889.5,3,20,12.794163671229189,No
3668-QPYBK,Male,0,No,No,2,1,No,DSL,1,1,0,0,0,0,Month-to-month,Yes,Mailed check,53.85,108.15,3,20,15.077512748224452,Yes
7795-CFOCW,Male,0,No,No,45,0,No phone service,DSL,1,0,1,1,0,0,One year,No,Bank transfer (automatic),42.3,1840.75,3,20,17.299582553436835,No
9237-HQITU,Female,0,No,No,2,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,70.7,151.65,1,40,18.222738623138714,Yes
9305-CDSKC,Female,0,No,No,8,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,99.65,820.5,4,40,22.502721355846745,Yes
1452-KIOVK,Male,0,No,Yes,22,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,3,40,28.14118463950435,No
6713-OKOMC,Female,0,No,No,10,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,No,Mailed check,29.75,301.9,1,20,9.492081488529646,No
7892-POOKP,Female,0,Yes,No,28,1,Yes,Fiber optic,0,0,1,1,1,1,Month-to-month,Yes,Electronic check,,3046.05,5,40,,Yes
6388-TABGU,Male,0,No,Yes,62,1,No,DSL,1,1,0,0,0,0,One year,No,Bank transfer (automatic),56.15,3487.95,3,20,10.126661714972688,No
9763-GRSKD,Male,0,Yes,Yes,13,1,No,DSL,1,0,0,0,0,0,Month-to-month,Yes,Mailed check,49.95,587.45,2,20,14.562895043848295,No
7469-LKBCI,Male,0,No,No,16,1,No,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),18.95,326.8,1,0,0.0,No
8091-TTVAX,Male,0,Yes,No,58,1,Yes,Fiber optic,0,0,1,0,1,1,One year,No,Credit card (automatic),100.35,5681.1,4,40,23.71273021044386,No
0280-XJGEX,Male,0,No,No,49,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,5,40,29.248066810881326,Yes
5129-JLPIS,Male,0,No,No,25,1,No,Fiber optic,1,0,1,1,1,1,Month-to-month,Yes,Electronic check,105.5,2686.05,6,40,29.035769600136415,No
3655-SNQYZ,Female,0,Yes,Yes,69,1,Yes,Fiber optic,1,1,1,1,1,1,Two year,No,Credit card (automatic),113.25,7895.15,7,40,36.019647107459356,No
8191-XWSZG,Female,0,No,No,52,1,No,No,0,0,0,0,0,0,One year,No,Mailed check,20.65,1022.95,1,0,5.572253471696107,No
9959-WOFKT,Male,0,No,Yes,71,1,Yes,Fiber optic,1,0,1,0,1,1,Two year,No,Bank transfer (automatic),106.7,7382.25,5,40,30.196913525100396,No
4190-MFLUW,Female,0,Yes,Yes,10,1,No,DSL,0,0,1,1,0,0,Month-to-month,No,Credit card (automatic),55.2,528.35,3,20,11.334143203195579,Yes
4183-MYFRB,Female,0,No,No,21,1,No,Fiber optic,0,1,1,0,0,1,Month-to-month,Yes,Electronic check,90.05,1862.9,4,40,23.163842303265284,No
8779-QRDMV,Male,1,No,No,1,0,No phone service,DSL,0,0,1,0,0,1,Month-to-month,Yes,Electronic check,39.65,39.65,2,20,11.52631054512396,Yes
1680-VDCWW,Male,0,Yes,No,12,1,No,No,0,0,0,0,0,0,One year,No,Bank transfer (automatic),19.8,202.25,1,0,0.0,No
1066-JKSGK,Male,0,No,No,1,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.15,20.15,1,0,3.8938034739615817,Yes
3638-WEABW,Female,0,Yes,No,58,1,Yes,DSL,0,1,0,1,0,0,Two year,Yes,Credit card (automatic),59.9,3505.1,3,20,13.858627731447,No
6322-HRPFA,Male,0,Yes,Yes,49,1,No,DSL,1,1,0,1,0,0,Month-to-month,No,Credit card (automatic),59.6,2970.3,4,20,14.013523912668475,No
6865-JZNKO,Female,0,No,No,30,1,No,DSL,1,1,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,3,20,18.290105888181948,No
6467-CHFZW,Male,0,Yes,Yes,47,1,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,Yes,Electronic check,99.35,4749.15,4,40,28.62633931343484,Yes
8665-UTDHZ,Male,0,Yes,Yes,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,No,Electronic check,30.2,30.2,1,20,12.445919537203018,Yes
5248-YGIJN,Male,0,Yes,No,72,1,Yes,DSL,1,1,1,1,1,1,Two year,Yes,Credit card (automatic),90.25,6369.45,7,20,29.221229750569776,No
8773-HHUOZ,Female,0,No,Yes,17,1,No,DSL,0,0,0,0,1,1,Month-to-month,Yes,Mailed check,64.7,1093.1,3,20,15.037370524587942,Yes
3841-NFECX,Female,1,Yes,No,71,1,Yes,Fiber optic,1,1,1,1,0,0,Two year,Yes,Credit card (automatic),96.35,6766.95,5,40,28.258631245592966,No
4929-XIHVW,Male,1,Yes,No,2,1,No,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Credit card (automatic),95.5,181.65,4,40,18.625593695043655,No
6827-IEAUQ,Female,0,Yes,Yes,27,1,No,DSL,1,1,1,1,0,0,One year,No,Mailed check,66.15,1874.45,5,20,16.186147122905684,No
7310-EGVHZ,Male,0,No,No,1,1,No,No,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),20.2,20.2,1,0,5.2380935510114055,No
3413-BMNZE,Male,1,No,No,1,1,No,DSL,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),45.25,45.25,1,20,13.574625231853483,No
6234-RAAPL,Female,0,Yes,Yes,72,1,Yes,Fiber optic,1,1,0,1,1,0,Two year,No,Bank transfer (automatic),99.9,7251.7,5,40,28.675654077556924,No
6047-YHPVI,Male,0,No,No,5,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,69.7,316.9,1,40,22.520188043342053,Yes
6572-ADKRS,Female,0,No,No,46,1,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,2,40,21.139829230644686,No
5380-WJKOV,Male,0,No,No,34,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,106.35,3549.25,5,40,,Yes
8168-UQWWF,Female,0,No,No,11,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,4,40,23.850368174554166,Yes
8865-TNMNX,Male,0,Yes,Yes,10,1,No,DSL,0,1,0,0,0,0,One year,No,Mailed check,49.55,475.7,2,20,14.84866612068117,No
9489-DEDVP,Female,0,Yes,Yes,70,1,Yes,DSL,1,1,0,0,1,0,Two year,Yes,Credit card (automatic),69.2,4872.35,4,20,22.695328782714963,No
9867-JCZSP,Female,0,Yes,Yes,17,1,No,No,0,0,0,0,0,0,One year,No,Mailed check,20.75,418.25,1,0,3.931264595949887,No
4671-VJLCL,Female,0,No,No,63,1,Yes,DSL,1,1,1,1,1,0,Two year,Yes,Credit card (automatic),79.85,4861.45,6,20,17.699532158036384,No
4080-IIARD,Female,0,Yes,No,13,1,Yes,DSL,1,1,0,1,1,0,Month-to-month,Yes,Electronic check,76.2,981.45,5,20,19.783495651717015,No
3714-NTNFO,Female,0,No,No,49,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,,3906.7,2,40,,No
5948-UJZLF,Male,0,No,No,2,1,No,DSL,0,1,0,0,0,0,Month-to-month,No,Mailed check,49.25,97,2,20,,No
7760-OYPDY,Female,0,No,No,2,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,80.65,144.15,2,40,13.216034422269583,Yes
7639-LIAYI,Male,0,No,No,52,1,Yes,DSL,1,0,0,1,1,1,Two year,Yes,Credit card (automatic),79.75,4217.8,5,20,16.137063645549052,No
2954-PIBKO,Female,0,Yes,Yes,69,1,Yes,DSL,1,0,1,1,0,0,Two year,Yes,Credit card (automatic),64.15,4254.1,4,20,13.897583412069642,No
8012-SOUDQ,Female,1,No,No,43,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Electronic check,90.25,3838.75,3,40,24.6968332201427,No
9420-LOJKX,Female,0,No,No,15,1,No,Fiber optic,1,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,5,40,36.372008520358825,Yes
6575-SUVOI,Female,1,Yes,No,25,1,Yes,DSL,1,0,0,1,1,0,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,4,20,14.289631301629983,No
7495-OOKFY,Female,1,Yes,No,8,1,Yes,Fiber optic,0,1,0,0,0,0,Month-to-month,Yes,Credit card (automatic),80.65,633.3,2,40,22.4831107619756,Yes
4667-QONEA,Female,1,Yes,Yes,60,1,No,DSL,1,1,1,1,0,1,One year,Yes,Credit card (automatic),74.85,4456.35,6,20,22.520090672281903,No
1658-BYGOY,Male,1,No,No,18,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,Yes,Electronic check,95.45,1752.55,3,40,28.747656205229084,Yes
8769-KKTPH,Female,0,Yes,Yes,63,1,Yes,Fiber optic,1,0,0,0,1,1,One year,Yes,Credit card (automatic),99.65,6311.2,4,40,22.244632783148173,No
5067-XJQFU,Male,1,Yes,Yes,66,1,Yes,Fiber optic,0,1,1,1,1,1,One year,Yes,Electronic check,108.45,7076.35,6,40,31.259064655730416,No
3957-SQXML,Female,0,Yes,Yes,34,1,Yes,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),24.95,894.3,1,0,1.379262670283536,No
5954-BDFSG,Female,0,No,No,72,1,Yes,Fiber optic,0,0,1,1,1,1,Two year,Yes,Credit card (automatic),107.5,7853.7,5,40,23.991161414331664,No
0434-CSFON,Female,0,Yes,No,47,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,100.5,4707.1,4,40,23.89280979575471,No
1215-FIGMP,Male,0,No,No,60,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,3,40,23.3006672990365,No
0526-SXDJP,Male,0,Yes,No,72,0,No phone service,DSL,1,1,1,0,0,0,Two year,No,Bank transfer (automatic),42.1,2962,3,20,10.540183384129014,No
0557-ASKVU,Female,0,Yes,Yes,18,1,No,DSL,0,0,1,1,0,0,One year,Yes,Credit card (automatic),54.4,957.1,3,20,10.634709659560873,No
5698-BQJOH,Female,0,No,No,9,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,No,Electronic check,94.4,857.25,3,40,25.430310844151613,Yes
5122-CYFXA,Female,0,No,No,3,1,No,DSL,0,1,0,1,1,1,Month-to-month,Yes,Electronic check,,244.1,5,20,,No
8627-ZYGSZ,Male,0,Yes,No,47,1,Yes,Fiber optic,0,1,0,0,0,0,One year,Yes,Electronic check,78.9,3650.35,2,40,26.55363736032003,No
3410-YOQBQ,Female,0,No,No,31,1,No,DSL,0,1,1,1,1,1,Two year,No,Mailed check,79.2,2497.2,6,20,22.275225251017478,No
3170-NMYVV,Female,0,Yes,Yes,50,1,No,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.15,930.9,1,0,1.7716204960743187,No
7410-OIEDU,Male,0,No,No,10,1,No,Fiber optic,1,0,1,0,0,0,Month-to-month,Yes,Mailed check,79.85,887.35,3,40,16.339703995348763,No
